idx,Query,Restaurant Name,Address,URL,Restaurant URL,Cuisines,Number of Reviews,Excellent reviews,Very good reviews,Average reviews,Poor reviews,Terrible reviews
40,Capsouto Frères,Mariage Freres,"30 rue du Bourg Tibourg, 75004 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d719581-Reviews-Mariage_Freres-Paris_Ile_de_France.html#REVIEWS,http://www.mariagefreres.com/,,485,77,45,15,0,4
13,Atelier,Atelier,"540 Rochester St, Ottawa, Ontario K1S 4M1 Canada",https://www.tripadvisor.com/Restaurant_Review-g155004-d1315612-Reviews-Atelier-Ottawa_Ontario.html#REVIEWS,http://www.atelierrestaurant.ca/,,369,251,52,17,7,10
26,Brasserie 8½,Bombay Brasserie,"Burj Khalifa St, Dubai 8489 United Arab Emirates",https://www.tripadvisor.com/Restaurant_Review-g295424-d8091861-Reviews-Bombay_Brasserie-Dubai_Emirate_of_Dubai.html#REVIEWS,https://taj.tajhotels.com/en-in/taj-dubai/restaurants/bombay-brasserie/,"Indian, Asian",2001,1672,152,24,9,3
42,Chanterelle,Chanterelle,"316 Main St, Edmonds, WA 98020-3197",https://www.tripadvisor.com/Restaurant_Review-g58451-d3220419-Reviews-Chanterelle-Edmonds_Washington.html#REVIEWS,http://chanterellewa.com/,"American, Soups, Contemporary",360,172,124,34,19,7
41,Casimir,Chez Casimir,"Gare du Nord 6 rue de Belzunce, 75010 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d714943-Reviews-Chez_Casimir-Paris_Ile_de_France.html#REVIEWS,http://www.ruedebelzunce.com/,,681,132,84,16,7,11
27,Brasserie Julien,Brasserie Chez Julien,"10 avenue Camille Page, 86100 Chatellerault France",https://www.tripadvisor.com/Restaurant_Review-g196665-d8179256-Reviews-Brasserie_Chez_Julien-Chatellerault_Vienne_Nouvelle_Aquitaine.html#REVIEWS,http://www.facebook.com/brasseriejulien,,232,2,5,2,0,0
56,Deux Amis,Aux Deux Amis,"45 rue Oberkampf 75011, 75011 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d3158528-Reviews-Aux_Deux_Amis-Paris_Ile_de_France.html#REVIEWS,http://www.facebook.com/Aux-Deux-Amis-120307971356817,,162,17,11,8,3,8
70,Indochine,Indochine,"430 Lafayette St, New York City, NY 10003-6916",https://www.tripadvisor.com/Restaurant_Review-g60763-d423303-Reviews-Indochine-New_York_City_New_York.html#REVIEWS,http://www.indochinenyc.com/,,371,110,96,36,14,13
44,Chez Jacqueline,Chez Jacqueline Restaurant,"114 E Bridge St, Breaux Bridge, LA 70517-5026",https://www.tripadvisor.com/Restaurant_Review-g40050-d655640-Reviews-Chez_Jacqueline_Restaurant-Breaux_Bridge_Louisiana.html#REVIEWS,https://www.facebook.com/Chez-Jacquelines-442863419062252/,,219,91,34,11,11,11
57,Django,Django Restaurant,"1420 Locust St, Des Moines, IA 50309-3656",https://www.tripadvisor.com/Restaurant_Review-g37835-d1217493-Reviews-Django_Restaurant-Des_Moines_Iowa.html#REVIEWS,http://www.djangodesmoines.com/,,464,257,131,36,22,11
71,Ivo & Lulu,Ivos Pizza,"Vasco Quiroga, Patzcuaro Mexico",https://www.tripadvisor.com/Restaurant_Review-g499420-d3381525-Reviews-Ivos_Pizza-Patzcuaro_Central_Mexico_and_Gulf_Coast.html#REVIEWS,http://www.facebook.com/ivospizza/,,56,22,10,0,0,0
45,Chez Josephine,Chez Josephine,"414 W 42nd St Frnt A, New York City, NY 10036-6806",https://www.tripadvisor.com/Restaurant_Review-g60763-d457179-Reviews-Chez_Josephine-New_York_City_New_York.html#REVIEWS,http://chezjosephinenyc.com/,"French, European, International",1005,469,258,94,35,28
58,"Elephant, The",The Flying Elephant,"No 39 Velachery Main Road, Near Raj Bhavan, Chennai (Madras) 600032 India",https://www.tripadvisor.com/Restaurant_Review-g304556-d3860487-Reviews-The_Flying_Elephant-Chennai_Madras_Chennai_District_Tamil_Nadu.html#REVIEWS,https://www.hyattrestaurants.com/en/dining/india/chennai/asian-restaurant-in-velachery-the-flying-elephant,,801,552,132,48,18,10
73,Jacques Brasserie,LAuberge Chez Francois,"332 Springvale Rd, Great Falls, VA 22066-3213",https://www.tripadvisor.com/Restaurant_Review-g57783-d497912-Reviews-LAuberge_Chez_Francois-Great_Falls_Fairfax_County_Virginia.html#REVIEWS,http://www.laubergechezfrancois.com/,"French, European",835,668,92,49,12,6
46,Chez Laurence,Chez Francois,"8 quai General Durand, 34200 Sete France",https://www.tripadvisor.com/Restaurant_Review-g660465-d1893323-Reviews-Chez_Francois-Sete_Herault_Occitanie.html#REVIEWS,http://www.facebook.com/Chez-Francois-150332251673488/,"French, Seafood, Mediterranean, Healthy",1579,65,43,12,3,7
59,Epicerie,L'Epicerie,"46 Place Michel Debre, 37400, Amboise France",https://www.tripadvisor.com/Restaurant_Review-g187116-d1060988-Reviews-L_Epicerie-Amboise_Indre_et_Loire_Centre_Val_de_Loire.html#REVIEWS,http://www.lepicerie-amboise.com/,"French, European",1185,168,122,47,18,18
74,Jarnac,Restaurant du Chateau,"15 Place du Chateau, 16200 Jarnac France",https://www.tripadvisor.com/Restaurant_Review-g425093-d1122567-Reviews-Restaurant_du_Chateau-Jarnac_Charente_Nouvelle_Aquitaine.html#REVIEWS,http://www.restaurant-du-chateau.com/,"French, European",263,39,23,7,7,2
47,Chez Napoléon,Chez Georges,"1 rue du Mail, 75002 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d714962-Reviews-Chez_Georges-Paris_Ile_de_France.html#REVIEWS,https://www.facebook.com/chezgeorges1965/,,685,242,114,34,16,15
75,Jean Claude,Jean Claude 2,"1343 2nd Ave Btwn 70th and 71th, New York City, NY 10021-5225",https://www.tripadvisor.com/Restaurant_Review-g60763-d2582381-Reviews-Jean_Claude_2-New_York_City_New_York.html#REVIEWS,http://www.jeanclaudenyc.com/,"French, European",118,49,46,10,4,2
61,Fives,The Penthouse at Five Palm Jumeirah Dubai,"No 1 Palm Jumeirah FIVE Palm Jumeirah, Dubai United Arab Emirates",https://www.tripadvisor.com/Restaurant_Review-g295424-d13426455-Reviews-The_Penthouse_at_Five_Palm_Jumeirah_Dubai-Dubai_Emirate_of_Dubai.html#REVIEWS,http://thepenthouse.co/,"Japanese, Bar, Sushi",1453,1187,65,23,28,61
48,Cité Grill,City Park Grill,"432 E Lake St, Petoskey, MI 49770-2439",https://www.tripadvisor.com/Restaurant_Review-g42590-d547090-Reviews-City_Park_Grill-Petoskey_Emmet_County_Michigan.html#REVIEWS,http://www.cityparkgrill.com/,"American, Bar, Pub",1056,481,348,138,57,30
76,Jean Georges,Jean Georges,"1 Central Park W, New York City, NY 10023-7702",https://www.tripadvisor.com/Restaurant_Review-g60763-d1657868-Reviews-Jean_Georges-New_York_City_New_York.html#REVIEWS,http://www.jean-georgesrestaurant.com/jean-georges/,,1963,1112,229,113,58,39
62,Flea Market Cafe,Waroeng Bernadette,"Jl. Kayu Aya No.17 Kayu Aya Square Oberoi, Seminyak 80361 Indonesia",https://www.tripadvisor.com/Restaurant_Review-g469404-d17848374-Reviews-Waroeng_Bernadette-Seminyak_Kuta_District_Bali.html#REVIEWS,http://www.facebook.com/WaroengBernadetteBali/,,2110,1665,128,10,3,4
