name,number_of_reviews,food,service,price,decor,excellent,very_good,average,poor,terrible,sentiment_polarity_x,sentiment_subjectivity_x,InMichelin,Food,Decor,Service,Price,Number of Reviews,Excellent reviews,Very good reviews,Average reviews,Poor reviews,Terrible reviews,sentiment_polarity_y,sentiment_subjectivity_y
Restaurant Gordon Ramsay,3356.0,45.0,50.0,40.0,45.0,2185.0,317.0,151.0,60.0,41.0,0.2603189651273266,0.5943575601183018,,,,,,,,,,,,,
Restaurant Gordon Ramsay,3356.0,45.0,50.0,40.0,45.0,2185.0,317.0,151.0,60.0,41.0,0.2603189651273266,0.5943575601183018,,,,,,,,,,,,,
Waterside Inn,1860.0,45.0,50.0,40.0,45.0,1517.0,170.0,90.0,26.0,19.0,0.4058558351115651,0.6370442964490078,,,,,,,,,,,,,
Vrijmoed,619.0,45.0,45.0,45.0,40.0,111.0,23.0,13.0,4.0,0.0,0.3574347666630887,0.5931916164450302,,,,,,,,,,,,,
The Jane,1664.0,45.0,45.0,45.0,45.0,270.0,46.0,17.0,10.0,5.0,,,,,,,,,,,,,,,
Hof van Cleve,483.0,50.0,50.0,45.0,45.0,92.0,7.0,6.0,2.0,0.0,0.3501028025600705,0.5947424026009811,,,,,,,,,,,,,
La Vague d'Or,473.0,50.0,50.0,45.0,50.0,91.0,10.0,4.0,1.0,3.0,0.3643606433239887,0.5605617718840763,,,,,,,,,,,,,
Auberge Du Vieux Puits,1246.0,50.0,45.0,45.0,45.0,85.0,7.0,2.0,0.0,0.0,0.3328582102092308,0.5778167255092794,,,,,,,,,,,,,
Hotel Restaurant Regis & Jacques Marcon,1167.0,50.0,50.0,45.0,45.0,42.0,1.0,0.0,0.0,0.0,0.3755112731347952,0.5970385144364417,,,,,,,,,,,,,
PIC,2694.0,50.0,50.0,45.0,45.0,147.0,19.0,9.0,4.0,3.0,0.4111841245990152,0.6367425552050868,,,,,,,,,,,,,
PIC,2694.0,50.0,50.0,45.0,45.0,147.0,19.0,9.0,4.0,3.0,0.4111841245990152,0.6367425552050868,,,,,,,,,,,,,
Troisgros,258.0,45.0,50.0,45.0,,18.0,3.0,1.0,2.0,0.0,0.4246255143104073,0.6674379266307074,,,,,,,,,,,,,
Restaurant Le Clos des Sens,969.0,45.0,45.0,40.0,45.0,69.0,13.0,6.0,6.0,4.0,0.4182192374035861,0.6332201815458118,,,,,,,,,,,,,
la marine,656.0,50.0,50.0,45.0,45.0,29.0,4.0,1.0,0.0,0.0,0.3510111926773851,0.5915442471653256,,,,,,,,,,,,,
Le Vivier restaurant,1839.0,45.0,45.0,45.0,45.0,228.0,42.0,13.0,8.0,3.0,0.4293294062824764,0.6125295755576458,,,,,,,,,,,,,
Les Pres d'Eugenie - Restaurant Michel Guérard,616.0,50.0,45.0,45.0,45.0,61.0,5.0,4.0,2.0,2.0,0.3684387861880683,0.5610047309981856,,,,,,,,,,,,,
Le Cinq,2275.0,50.0,50.0,40.0,50.0,960.0,100.0,37.0,15.0,11.0,0.3912147677411265,0.6576895405468787,,,,,,,,,,,,,
Le Cinq,2275.0,50.0,50.0,40.0,50.0,960.0,100.0,37.0,15.0,11.0,0.3912147677411265,0.6576895405468787,,,,,,,,,,,,,
Le 1947 à Cheval Blanc,66.0,45.0,50.0,40.0,45.0,23.0,0.0,1.0,3.0,2.0,0.351904250590153,0.6254304074158147,,,,,,,,,,,,,
Epicure,2926.0,50.0,50.0,45.0,45.0,1106.0,94.0,33.0,10.0,4.0,0.3453137466410037,0.5924159362071276,,,,,,,,,,,,,
Eleven Madison Park,2679.0,45.0,45.0,40.0,45.0,1583.0,280.0,196.0,83.0,76.0,0.254383568102655,0.5945012198667629,,,,,,,,,,,,,
Eleven Madison Park,2679.0,45.0,45.0,40.0,45.0,1583.0,280.0,196.0,83.0,76.0,0.254383568102655,0.5945012198667629,,,,,,,,,,,,,
L'Ambroisie,561.0,40.0,40.0,35.0,40.0,108.0,20.0,22.0,23.0,17.0,0.2683638434029138,0.5821466209116073,,,,,,,,,,,,,
Le Louis XV - Alain Ducasse à l'Hôtel de Paris,1029.0,45.0,45.0,40.0,45.0,329.0,47.0,32.0,13.0,12.0,0.344906626066862,0.6106293994588141,,,,,,,,,,,,,
Maison Lameloise,1710.0,50.0,50.0,45.0,45.0,401.0,58.0,15.0,3.0,3.0,,,,,,,,,,,,,,,
"La Dame de Pic, Raffles Singapore",97.0,45.0,45.0,40.0,40.0,57.0,11.0,10.0,4.0,5.0,0.2989000348276601,0.5803052950106982,,,,,,,,,,,,,
Cheval Blanc By Peter Knogl,544.0,50.0,50.0,45.0,45.0,183.0,20.0,6.0,1.0,0.0,0.4346180424502908,0.6434426457795491,,,,,,,,,,,,,
Pierre Gagnaire,1031.0,45.0,45.0,40.0,45.0,222.0,42.0,17.0,8.0,13.0,0.3220962576071272,0.6226075506618985,,,,,,,,,,,,,
Flocons de Sel,1086.0,50.0,50.0,45.0,45.0,115.0,9.0,7.0,1.0,1.0,0.3778197451420108,0.6163782265188515,,,,,,,,,,,,,
Le Pavillon de la Grande Cascade,1100.0,45.0,45.0,40.0,45.0,119.0,38.0,6.0,4.0,5.0,0.3383522727272727,0.7258585858585859,,,,,,,,,,,,,
Le Petit Nice Passedat restaurant gastronomique,1130.0,45.0,40.0,35.0,40.0,85.0,33.0,20.0,7.0,12.0,,,,,,,,,,,,,,,
de Silveren Spiegel,1743.0,50.0,50.0,45.0,45.0,948.0,102.0,27.0,12.0,9.0,0.4602549631566992,0.6681564959389034,,,,,,,,,,,,,
Bistrot L'Ancienne Auberge 1900,1445.0,40.0,35.0,35.0,40.0,24.0,28.0,26.0,18.0,14.0,,,,,,,,,,,,,,,
Alma By Juan Amador,722.0,45.0,45.0,45.0,40.0,542.0,91.0,23.0,9.0,9.0,,,,,,,,,,,,,,,
